name,amenity,shop,building,leisure,comuna,lon,lat,tipo_osm,Zcap
Homecenter Maipu,parking,,,,Maipú,-70.7464323,-33.48212209999999,parking,25
,parking,,,,Maipú,-70.7627841,-33.520703,parking,25
Copec,fuel,,,,Maipú,-70.7560805,-33.479472400000006,fuel,10
Unimarc El Abrazo de Maipú,,supermarket,,,Maipú,-70.7710008,-33.54184089999999,supermarket,10
Unimarc,,supermarket,,,Maipú,-70.7796315,-33.54392039999999,supermarket,10
Express de Líder,,supermarket,,,Maipú,-70.7691575,-33.54489790000001,supermarket,10
Alvi,,supermarket,,,Maipú,-70.7569955,-33.5122537,supermarket,10
Mayorista 10,,supermarket,,,Maipú,-70.7917577,-33.55256239999999,supermarket,10
,parking,,,,Maipú,-70.7503423,-33.4861753,parking,25
Mall Chino,,supermarket,,,Maipú,-70.7869446,-33.5055248,supermarket,10
,parking,,,,Maipú,-70.7923515,-33.47550379999999,parking,25
Santa Isabel,,supermarket,,,Maipú,-70.7575956,-33.509566499999984,supermarket,10
Lider Express,,supermarket,,,Maipú,-70.7580517,-33.5108757,supermarket,10
Santa Isabel,,supermarket,,,Maipú,-70.7894112,-33.54753409999999,supermarket,10
,parking,,,,Maipú,-70.7567604,-33.4782804,parking,25
Unimarc,,supermarket,,,Maipú,-70.7569212,-33.47989369999999,supermarket,10
Jumbo,,supermarket,,,Maipú,-70.7579581,-33.4967064,supermarket,10
Lider Express,,supermarket,,,Maipú,-70.7382285,-33.492905099999994,supermarket,10
Ekono,,supermarket,,,Maipú,-70.7863904,-33.5362318,supermarket,10
Ekono,,supermarket,,,Maipú,-70.750728,-33.47013919999999,supermarket,10
Petrobras,fuel,,,,Maipú,-70.7570666,-33.49589859999998,fuel,10
Shell,fuel,,,,Maipú,-70.7930431,-33.53161209999999,fuel,10
Copec,fuel,,,,Maipú,-70.7570291,-33.4964914,fuel,10
Shell,fuel,,,,Maipú,-70.7598868,-33.4710252,fuel,10
,parking,,,,Maipú,-70.7515954,-33.4845099,parking,25
Petrobras,fuel,,,,Maipú,-70.7954757,-33.55450009999999,fuel,10
Copec,fuel,,,,Maipú,-70.7635312,-33.5195227,fuel,10
JYL,fuel,,,,Maipú,-70.757663,-33.5238368,fuel,10
Auto Gasco,fuel,,,,Maipú,-70.7579748,-33.5238483,fuel,10
Shell,fuel,,,,Maipú,-70.7753057,-33.50962979999999,fuel,10
Copec,fuel,,,,Maipú,-70.7400768,-33.4741617,fuel,10
Engie Vule,charging_station,,,,Maipú,-70.8041633,-33.51130179999999,charging_station,30
,parking,,,,Maipú,-70.7566953,-33.46986819999999,parking,25
Copec Voltex,charging_station,,,,Maipú,-70.8038876,-33.52247069999999,charging_station,30
AIEP SeDe Maipu,university,,,,Maipú,-70.7579522,-33.5092235,university,10
Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,hospital,,,,Maipú,-70.775111,-33.5179175,hospital,6
,parking,,,,Maipú,-70.7552402,-33.49247290000001,parking,25
Tottus,,supermarket,,,Maipú,-70.7576521,-33.5058786,supermarket,10
Autolimpio,car_wash,,,,Maipú,-70.7349254,-33.52249219999999,car_wash,2
Copec Voltex,charging_station,,,,Maipú,-70.7403208,-33.474212699999995,charging_station,30
Patio Outlet Maipú,,mall,yes,,Maipú,-70.73367271284289,-33.52282130133883,mall,20
CRS,hospital,,,,Maipú,-70.77189992511728,-33.50845478130914,hospital,6
,,,commercial,,Maipú,-70.75835178106679,-33.497069331875394,commercial,10
Jumbo,,supermarket,yes,,Maipú,-70.75178336328774,-33.480056618099965,supermarket,10
Lider,,supermarket,yes,,Maipú,-70.74718018566412,-33.480511069332586,supermarket,10
Escuela de Sub Oficiales,parking,,,,Maipú,-70.8312241855916,-33.49842926306975,parking,25
Escuela de Sub Oficiales,parking,,,,Maipú,-70.83387115288627,-33.498698626847734,parking,25
Centro Comercial Ciudad Satélite,,,retail,,Maipú,-70.79062040031323,-33.55756945011771,retail,6
Mall Arauco Maipu,parking,,,,Maipú,-70.7527274989639,-33.48199755863986,parking,25
Lider,,supermarket,retail,,Maipú,-70.75808405646609,-33.47192430924208,supermarket,10
,parking,,,,Maipú,-70.75901956878315,-33.47180725512673,parking,25
INACAP Maipu,university,,,,Maipú,-70.75609574815097,-33.480579095760284,university,10
Hospital Metropolitano El Carmen Doctor Luis Valentín Ferrada,hospital,,,,Maipú,-70.77425059169802,-33.5080756834028,hospital,6
Supermercado Alvi,parking,,,,Maipú,-70.74054400203788,-33.4747530580345,parking,25
Supermercado Alvi,,supermarket,yes,,Maipú,-70.74115875687473,-33.474531281814706,supermarket,10
Acuenta,,supermarket,yes,,Maipú,-70.79423353694816,-33.55382959948225,supermarket,10
Liceo Municipal Nacional De Maipu,parking,,,,Maipú,-70.79303248198116,-33.51915953730828,parking,25
Estacionamiento Parque Municipal,parking,,,,Maipú,-70.80082798765712,-33.523482481934025,parking,25
,parking,,,,Maipú,-70.79401665222824,-33.52025592769348,parking,25
,parking,,,,Maipú,-70.78690604822289,-33.51811899834612,parking,25
Mall Chino,,supermarket,commercial,,Maipú,-70.78705377960988,-33.518079243028964,supermarket,10
,parking,,,,Maipú,-70.78590551873131,-33.51629773639424,parking,25
,parking,,,,Maipú,-70.76585354443667,-33.51006293695074,parking,25
,parking,,,,Maipú,-70.75599407541374,-33.51327809121268,parking,25
Estadio Municipal Santiago Bueras,,,,stadium,Maipú,-70.7488379865258,-33.50826456261559,stadium,20
,,mall,yes,,Maipú,-70.7593663745822,-33.511228649102826,mall,20
Espacio Urbano Plaza Maipú,,mall,yes,,Maipú,-70.75789021838419,-33.51110642652202,mall,20
Maipú Centro,,mall,yes,,Maipú,-70.75795880121035,-33.509577647020166,mall,20
,parking,,,,Maipú,-70.77585697065132,-33.51212279789013,parking,25
Ekono,,supermarket,supermarket,,Maipú,-70.77586680413482,-33.51223627178973,supermarket,10
Ekono,,supermarket,,,Maipú,-70.77585909321934,-33.512206385201694,supermarket,10
Locales Comerciales 4 Poniente,parking,,,,Maipú,-70.79157769939053,-33.52349629932859,parking,25
Santa Isabel,,supermarket,commercial,,Maipú,-70.74057077030754,-33.47726790705897,supermarket,10
Estacionamientos Easy,parking,,,,Maipú,-70.73693981541278,-33.51553691338893,parking,25
Lider,,supermarket,yes,,Maipú,-70.75615755490536,-33.50248109763539,supermarket,10
Centro de Formación Técnica Maipú,university,,,,Maipú,-70.76381788710464,-33.508779930116795,university,10
Mayorista 10,,supermarket,yes,,Maipú,-70.77643945036108,-33.53153041522877,supermarket,10
Unimarc,,supermarket,yes,,Maipú,-70.77476320253842,-33.53260363399548,supermarket,10
