Dirección;Región;Comuna;Latitud;Longitud;Potencia (en kW) Electrolinera;Tipo corriente;Potencia (en kW) cargador;Numero de cargadores
21 de mayo 576;metropolitana;Santiago;-3.343.628;-7.065.014;7;AC;7;8
agustinas 735;metropolitana;Santiago;-3.344.038;-7.064.727;7;AC;7;3
alcalde luis araya cereceda frente a 1261;metropolitana;Penaflor;-336.083;-7.090.101;44;AC;22;2
alejandro fleming n/a;metropolitana;Las Condes;-3.342.545;-7.055.409;48;AC;22;2
alonso de cordova 3788;metropolitana;Vitacura;-3.340.187;-7.059.291;7;AC;7;2
alonso de cordova 6050;metropolitana;Las Condes;-3.340.788;-7.056.829;22;AC;22;2
altos del parque sur 5800;metropolitana;Penalolén;-334.987;-7.055.529;22;AC;11;4
americo vespucio 400;metropolitana;Pudahuel;-3.345.607;-7.076.757;44;AC;22;2
americo vespucio norte 1155;metropolitana;Huechuraba;-3.337.014;-706.626;14;AC;7;2
andr¿s bello 1863;metropolitana;Providencia;-3.342.294;-7.061.701;14;AC;7;2
andr¿s bello 2461;metropolitana;Providencia;-334.203;-7.061.128;14;AC;7;2
autopista ruta 5 sur kilometro 29 29;metropolitana;San Bernardo;-3.368.104;-7.072.634;50;AC;43;3
av jose pedro alesandri 131;metropolitana;Nunoa;-3.345.615;-7.059.812;7,4;AC;7,4;2
av jose pedro alessandri 131;metropolitana;Nuñoa;-3.345.615;-7.059.812;7,4;AC;7,4;2
av vitacura 5951;metropolitana;Vitacura;-3.339.178;-7.057.323;44;AC;44;1
av, manquehue sur 1590;metropolitana;Las Condes;-3.342.487;-7.056.338;22;AC;22;3
av. americo vespucio #1665;metropolitana;Vitacura;-3.339.894;-7.058.718;50;DC;50;3
av. americo vespucio 1289;metropolitana;Pudahuel;-3.342.819;-7.078.205;22;AC;22;23
av. americo vespucio 1501;metropolitana;Cerrillos;-33.517;-70.717;7,4;AC;7,4;4
av. apoquindo #4900;metropolitana;Las Condes;-3.341.159;-7.057.807;44;AC;22;2
av. chamisero 10410;metropolitana;Colina;-3.330.688;-7.066.335;43,56;AC;22;2
av. chicureo 2300;metropolitana;Colina;-332.855;-7.067.739;70;DC;60;3
av. concha y toro 1149;metropolitana;Puente Alto;-3.360.006;-7.057.581;60;DC;60;2
av. concha y toro 555;metropolitana;Puente Alto;-3.360.608;-7.057.636;22;AC;22;3
av. echenique con carlos ossandon s/n;metropolitana;La Reina;-3.344.196;-7.054.344;22;AC;7,4;4
av. fermin vivaceta 1030;metropolitana;Independencia;-334.187;-7.066.372;70;DC;60;2
av. francisco bilbao 451;metropolitana;Providencia;-334.418;-7.062.604;22;AC;22;1
av. jorge alessandri 1347;metropolitana;La Reina;-3.346.254;-7.054.487;22;AC;22;2
av. las condes 11049;metropolitana;Las Condes;-3.337.999;-7.052.888;7,4;AC;7,4;2
av. las condes 12145;metropolitana;Las Condes;-3.337.418;-705.198;43,56;AC;22;2
av. padre hurtado sur #875, piso -2;metropolitana;Las Condes;-3.341.512;-705.405;7;AC;7;1
av. pajaritos 3439;metropolitana;Maipú;-334.959;-707.572;22;AC;22;3
